ID,title,author,read-length
1,The Tale of Triona,William John Locke,10 hrs and 32 mins
2,Only Hope,Ruby Landers,8 hrs and 59 mins
3,Forged in Chaos,Tyler Grey,11 hrs and 20 mins
4,GigaBeasts 2,Gwen Grayson,8 hrs and 14 mins
5,The Life Reset Button,Marco Stitipas,3 hrs and 38 mins
6,The Gen Z Survival Guide,Nikolas Hobson Jr,3 hrs and 40 mins
7,Shadowbound,Nicole Holland,13 hrs and 18 mins
8,In Love with Ezra,Love Belvin,13 hrs and 5 mins
9,Dispute,Sean Oswald,16 hrs and 40 mins
10,Desperate Measures,Craig Alanson,15 hrs and 15 mins
11,Listening to the Law,Amy Coney Barrett,8 hrs and 46 mins
12,The Biblio Diet,Jordan Rubin,8 hrs
13,Shattered Hearts,Tina Spencer,9 hrs and 35 mins
14,All the Way to the River,Elizabeth Gilbert,10 hrs and 10 mins
15,Room 27 (English Edition),Ariana Godoy,3 hrs and 2 mins
16,Guild Mage: Apprentice,David Niemitz,13 hrs and 9 mins
17,Twelve Months,Jim Butcher,15 hrs
18,A Promise So Bold and Broken,Sophia St. Germain,12 hrs and 8 mins
19,I Just Wish I Had a Bigger Kitchen,Kate Strickler,5 hrs and 47 mins
20,Unbreakable,Vonda Wright MD,9 hrs and 49 mins
